tapInTime,tapOutTime,tapInStops,tapOutStops,corridorID,corridorName,direction,jenis_kendaraan,durasi_perjalanan
2023-04-03 05:21:44,2023-04-03 06:00:53,P00142,P00253,5,Matraman Baru - Ancol,1.0,Reguler BRT,39
2023-04-03 05:42:44,2023-04-03 06:40:01,B01963P,B03307P,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,Non reguler BRT,57
2023-04-03 05:59:06,2023-04-03 06:50:55,B00499P,B04962P,R1A,Pantai Maju - Kota,0.0,Non reguler BRT,52
2023-04-03 05:44:51,2023-04-03 06:28:16,B05587P,B03090P,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,Non reguler BRT,43
2023-04-03 06:17:35,2023-04-03 06:57:03,P00239,P00098,12,Tanjung Priok - Pluit,0.0,Reguler BRT,39
2023-04-03 05:08:01,2023-04-03 05:52:25,B00127P,B00694P,1T,Cibubur - Balai Kota,0.0,Royal transjakarta,44
2023-04-03 06:58:21,2023-04-03 05:52:25,B00243P,B04016P,JAK18,Kalibata - Kuningan,0.0,Mikrotrans,72
2023-04-03 06:01:44,2023-04-03 06:51:12,B00795P,B01853P,B14,Bekasi Barat - Kuningan,1.0,Royal transjakarta,49
2023-04-03 05:57:47,2023-04-03 06:51:12,B05781P,B06578P,1Q,Rempoa - Blok M,0.0,Non reguler BRT,53
2023-04-03 06:32:28,2023-04-03 07:23:54,B05433P,B02387P,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,Non reguler BRT,51
2023-04-03 06:22:10,2023-04-03 06:50:21,P00254,P00129,M7B,BKN - Blok M,1.0,Tidak Diketahui,28
2023-04-03 06:15:04,2023-04-03 07:08:31,P00281,P00216,9A,PGC 2 - Grogol 2,1.0,Reguler BRT,53
2023-04-03 06:12:14,2023-04-03 07:07:35,P00159,P00135,4,Pulo Gadung 2 - Tosari,1.0,Reguler BRT,55
2023-04-03 05:38:44,2023-04-03 06:09:17,B00608P,B01062P,JAK46,Pasar Minggu - Jagakarsa,1.0,Mikrotrans,31
2023-04-03 06:43:20,2023-04-03 07:07:17,B05291P,B03032P,S22,Ciputat - Kampung Rambutan,0.0,Transjabodetabek,24
2023-04-03 06:49:48,2023-04-03 07:47:42,P00096,P00001,13,Ciledug - Tendean,1.0,Reguler BRT,58
2023-04-03 05:41:28,2023-04-03 06:35:41,B00058P,P00155,9E,Kebayoran Lama - Jelambar,1.0,Non reguler BRT,54
2023-04-03 06:24:23,2023-04-03 07:07:12,P00093,P00145,M9,Pinang Ranti - Pluit,1.0,Reguler BRT,43
2023-04-03 06:43:49,2023-04-03 07:30:45,B00722P,B05989P,JAK88,Terminal Tanjung Priok - Ancol Barat,0.0,Mikrotrans,47
2023-04-03 05:13:08,2023-04-03 06:08:59,P00206,B05720P,T11,Poris Plawad - Bundaran Senayan,1.0,Transjabodetabek,56
2023-04-03 06:44:28,2023-04-03 07:11:25,P00259,P00133,6V,Ragunan - Gelora Bung Karno,0.0,Reguler BRT,27
2023-04-03 06:45:03,2023-04-03 07:06:05,B02335P,B05256P,11Q,Kampung Melayu - Pulo Gebang via BKT,0.0,Non reguler BRT,21
2023-04-03 05:43:14,2023-04-03 06:12:52,B05023P,B03135P,JAK02,Kampung Melayu - Duren Sawit,0.0,Mikrotrans,30
2023-04-03 05:48:55,2023-04-03 06:33:42,P00233,P00086,11,Pulo Gebang - Matraman,0.0,Reguler BRT,45
2023-04-03 06:00:19,2023-04-03 06:23:52,B05833P,B00147P,1C,Pesanggrahan - Blok M,0.0,Non reguler BRT,24
2023-04-03 05:49:39,2023-04-03 06:42:12,B06299P,B02195P,3B,Rusun Flamboyan - Cengkareng,0.0,Tidak Diketahui,53
2023-04-03 05:45:14,2023-04-03 06:22:28,B06040P,B03322P,R1A,Pantai Maju - Kota,0.0,Non reguler BRT,37
2023-04-03 06:15:29,2023-04-03 06:50:32,P00183,P00104,M1,Blok M - Kota,0.0,Reguler BRT,35
2023-04-03 06:14:02,2023-04-03 06:50:32,B00001P,B00536P,JAK46,Pasar Minggu - Jagakarsa,1.0,Mikrotrans,72
2023-04-03 05:11:09,2023-04-03 05:38:49,B02831P,B02868P,7E,Kampung Rambutan - Ragunan,0.0,Non reguler BRT,28
2023-04-03 06:26:34,2023-04-03 06:51:21,B00102P,B00221P,1P,Senen - Blok M,0.0,Non reguler BRT,25
2023-04-03 06:44:26,2023-04-03 07:28:00,P00039,P00145,7D,Pancoran - Kampung Rambutan,0.0,Non reguler BRT,44
2023-04-03 05:12:22,2023-04-03 05:35:33,P00128,P00121,6H,Senen - Lebak Bulus,1.0,Non reguler BRT,23
2023-04-03 06:47:20,2023-04-03 07:34:23,B01311P,B03885P,14,Jakarta International Stadium - Senen,1.0,Non reguler BRT,47
2023-04-03 06:29:57,2023-04-03 07:24:08,B02476P,B02477P,BW9,Monas - Pantai Indah Kapuk,1.0,Tidak Diketahui,54
2023-04-03 06:32:51,2023-04-03 07:20:21,P00114,P00161,JIS3,Harmoni - Jakarta International Stadium,0.0,Non reguler BRT,48
2023-04-03 05:29:43,2023-04-03 05:58:35,B02994P,B05707P,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,Non reguler BRT,29
2023-04-03 05:28:22,2023-04-03 06:02:36,P00202,P00137,2,Pulo Gadung - Monas,0.0,Reguler BRT,34
